zip5,census_pop,pop_65plus,pct_65plus,median_income,unemployment_rate
01247,15279,3244,0.21231756004974148,53692,0.0507199377351148
01253,818,207,0.2530562347188264,102596,0.09732824427480916
01254,961,384,0.3995837669094693,91667,0.018218623481781375
01255,931,271,0.29108485499462944,73958,0.029661016949152543
01256,620,206,0.33225806451612905,54219,0.06944444444444445
01257,2230,920,0.4125560538116592,78940,0.01838235294117647
01258,188,60,0.3191489361702128,117917,0.04716981132075472
01259,733,99,0.13506139154160982,120568,0.052083333333333336
01260,20,0,0.0,-666666666,0.0
01262,1785,728,0.40784313725490196,75804,0.08610792192881746
01264,207,94,0.45410628019323673,78750,0.017241379310344827
01266,952,286,0.3004201680672269,85714,0.05168986083499006
01267,8142,1965,0.24134119380987473,101823,0.01493999510164095
01270,999,179,0.17917917917917917,100833,0.023972602739726026
01301,17880,4369,0.24435123042505594,53536,0.053113983548766154
01330,1607,459,0.28562538892345984,80560,0.09818569903948772
01331,13845,2501,0.1806428313470567,66985,0.07787857641311934
01337,2470,489,0.19797570850202428,79000,0.03907380607814761
01338,65,39,0.6,56250,0.0
01339,1396,423,0.3030085959885387,69500,0.05758426966292135
01340,1890,573,0.30317460317460315,74632,0.038461538461538464
01341,1620,461,0.2845679012345679,92500,0.04206098843322818
01342,1321,140,0.10598031794095382,99583,0.03212290502793296
01343,167,18,0.10778443113772455,76250,0.0
01344,1631,313,0.19190680564071122,70560,0.056647398843930635
01346,409,157,0.38386308068459657,105944,0.028985507246376812
01347,197,8,0.04060913705583756,74712,0.0
01349,764,108,0.14136125654450263,70240,0.02823529411764706
01350,103,33,0.32038834951456313,-666666666,0.0851063829787234
01351,2741,589,0.21488507843852608,96389,0.03664223850766156
01354,1747,372,0.21293646250715512,79135,0.04878048780487805
01355,1009,167,0.16551040634291378,76739,0.018957345971563982
01360,2871,644,0.2243120863810519,94775,0.03832116788321168
01364,7643,1491,0.19508046578568625,55773,0.08937129968987877
01366,1177,307,0.2608326253186066,104205,0.032679738562091505
01367,504,133,0.2638888888888889,78125,0.01834862385321101
01368,1455,268,0.18419243986254297,98542,0.05013192612137203
01370,3713,1137,0.3062213843253434,74680,0.054429028815368194
01373,4921,1129,0.22942491363543996,96546,0.04365345869711216
01375,3658,495,0.13531984691088025,59185,0.08100878868933893
01376,4868,1105,0.2269926047658176,53671,0.05094130675526024
01378,814,155,0.1904176904176904,89643,0.06263498920086392
01379,779,198,0.25417201540436457,66290,0.09045226130653267
01380,25,4,0.16,-666666666,0.0
01420,41661,5939,0.14255538753270444,65599,0.07932425841351483
01430,6457,1139,0.1763977079138919,111801,0.03759398496240601
01431,3187,657,0.20614998431126452,105750,0.05049453409682457
01432,8118,1304,0.16063069721606307,99375,0.05805059815650127
01434,1763,229,0.1298922291548497,106875,0.010224948875255624
01436,3694,549,0.14861938278289116,90225,0.1227217496962333
01438,385,21,0.05454545454545454,83953,0.0
01440,21231,4042,0.19038198860157318,57289,0.06351839203824763
01450,11212,1687,0.15046378879771674,186750,0.048832974673067374
01451,5362,838,0.15628496829541216,199191,0.04748889648103861
01452,4338,774,0.17842323651452283,114922,0.035831960461285006
01453,43550,8116,0.18636050516647532,75954,0.057002922171461495
01460,10084,1695,0.16808806029353432,151488,0.05548410802866067
01462,11765,2010,0.17084572885677857,106473,0.07878411910669975
01463,11667,1957,0.16773806462672494,124052,0.03865030674846626
01464,7092,1445,0.20375070501974055,114118,0.052647233789411066
01468,4009,755,0.18832626590172113,106581,0.03543788187372709
01469,7168,1127,0.1572265625,100402,0.044294294294294295
01473,8220,2212,0.26909975669099756,95674,0.04017013232514178
01474,1902,280,0.14721345951629863,117109,0.10057708161582853
01475,10180,1635,0.1606090373280943,85379,0.0720355349555813
01501,16763,3581,0.21362524607767105,101992,0.04389420371412493
01503,3514,957,0.27233921457029026,123077,0.04731075697211155
01504,9195,1630,0.17727025557368134,95132,0.03389830508474576
01505,4855,961,0.19794026776519053,133292,0.036676646706586824
01506,3443,813,0.23613128085971535,71122,0.04106776180698152
01507,13338,2117,0.1587194481931324,113896,0.04487087000432838
01510,15347,2202,0.14348081058187268,89888,0.04198871944850637
01515,2120,531,0.2504716981132076,77122,0.05974025974025974
01516,9213,1545,0.16769781830022795,138276,0.0569320975978816
01518,3047,375,0.12307187397440104,102500,0.09030470914127424
01519,7634,813,0.10649724914854598,144452,0.041942101664007296
01520,16893,2775,0.1642692239389096,141508,0.05177171873275196
01521,2585,622,0.24061895551257254,81250,0.06327372764786796
01522,2890,432,0.14948096885813147,116894,0.05157962604771115
01523,8395,1518,0.18082191780821918,111506,0.09911544567929235
01524,6077,898,0.14777028138884318,88933,0.03339041095890411
01525,31,0,0.0,-666666666,0.0
01527,13852,2529,0.18257291365867745,109119,0.049385941991115755
01529,3176,555,0.17474811083123426,95144,0.029110512129380053
01531,984,228,0.23170731707317074,99318,0.02819548872180451
01532,15647,2434,0.15555697577810443,160801,0.04960404751429828
01534,5893,1117,0.18954692007466487,123370,0.06400665004156277
