zip5,total_shifts,filled,unfilled,cancelled,unmet,city,state,unmet_rate,fill_rate,lat,lng,population,density,county_name,state_name,timezone,census_pop,pop_65plus,pct_65plus,median_income,unemployment_rate,city_label,state_label,score_unmet,score_volume,score_elderly,score_poverty,score_density,demand_pressure_score
01609,33,12,0,21,21,Worcester,MA,0.6363636363636364,0.3636363636363636,42.28592,-71.82853,23184.0,2397.3,Worcester,Massachusetts,America/New_York,23256.0,3331.0,0.1432318541451668,58246.0,0.0750430574920036,Worcester,MA,0.6363636357272726,0.006637168141590823,0.21817875423762131,0.8154616859948339,0.03817453947871223,36.23408404482
01907,46,45,0,1,1,Swampscott,MA,0.0217391304347826,0.9782608695652174,42.47572,-70.90684,15279.0,1951.5,Essex,Massachusetts,America/New_York,15208.0,2980.0,0.1959495002630194,116161.0,0.05374724892853,Swampscott,MA,0.02173913041304347,0.0003160556257900392,0.2984812150622617,0.5691710362365965,0.031075632500190593,15.478021472832145
02119,44,3,1,40,41,Roxbury,MA,0.9318181818181818,0.0681818181818181,42.32405,-71.08522,26851.0,6418.6,Suffolk,Massachusetts,America/New_York,26821.0,4033.0,0.1503672495432683,37158.0,0.1042926465098917,Roxbury,MA,0.9318181808863635,0.012958280657391606,0.2290477867460801,0.9051409957090998,0.10220961043593306,47.458669217943125
02121,69,45,0,24,24,Dorchester,MA,0.3478260869565217,0.6521739130434783,42.3057,-71.08693,28298.0,5794.2,Suffolk,Massachusetts,America/New_York,29820.0,3458.0,0.115962441314554,42411.0,0.0848695652173913,Dorchester,MA,0.3478260866086956,0.00758533501896094,0.17664046266356598,0.8828019681138305,0.09226668195367888,28.321921568250453
02126,115,72,2,41,43,Mattapan,MA,0.3739130434782609,0.6260869565217392,42.27588,-71.0918,25313.0,5345.6,Suffolk,Massachusetts,America/New_York,24994.0,3741.0,0.1496759222213331,66689.0,0.1204348443939178,Mattapan,MA,0.3739130431043478,0.013590391908971685,0.22799471838520152,0.7795567916512476,0.08512318785191844,28.661629211846652
02131,37,37,0,0,0,Roslindale,MA,0.0,1.0,42.28392,-71.12468,31564.0,4371.8,Suffolk,Massachusetts,America/New_York,31637.0,4626.0,0.1462211967000664,101566.0,0.047565543071161,Roslindale,MA,0.0,0.0,0.22273228765733452,0.6312380660772505,0.06961642334836446,14.619380977789096
02719,36,26,0,10,10,Fairhaven,MA,0.2777777777777778,0.7222222222222222,41.63945,-70.87322,15878.0,495.1,Bristol,Massachusetts,America/New_York,15899.0,3805.0,0.239323227875967,86676.0,0.0506024096385542,Fairhaven,MA,0.2777777775,0.0031605562579003917,0.36455049772087866,0.6945596196454134,0.007883958826976359,26.20059106881605
02720,363,253,6,104,110,Fall River,MA,0.303030303030303,0.696969696969697,41.73095,-71.10932,31063.0,909.8,Bristol,Massachusetts,America/New_York,30558.0,5238.0,0.171411741606126,60076.0,0.0895640526059425,Fall River,MA,0.30303030272727266,0.03476611883690431,0.2611039315836964,0.8076793862614734,0.014487630258095517,27.44220778091777
02721,61,31,3,27,30,Fall River,MA,0.4918032786885246,0.5081967213114754,41.67451,-71.14869,25922.0,2487.8,Bristol,Massachusetts,America/New_York,26807.0,4360.0,0.1626440855000559,51958.0,0.0897416528176461,Fall River,MA,0.49180327819672126,0.009481668773701175,0.24774854846572403,0.8422021781933973,0.039615658997680846,32.97530029743642
02723,74,49,0,25,25,Fall River,MA,0.3378378378378378,0.6621621621621622,41.69237,-71.1309,17111.0,4142.8,Bristol,Massachusetts,America/New_York,17164.0,2136.0,0.1244465159636448,43579.0,0.0840665873959572,Fall River,MA,0.3378378374999999,0.00790139064475098,0.18956387867912328,0.8778349046774562,0.06596983362633338,27.95116937112641
02724,44,9,0,35,35,Fall River,MA,0.7954545454545454,0.2045454545454545,41.68372,-71.17949,18758.0,4021.3,Bristol,Massachusetts,America/New_York,18445.0,2959.0,0.1604228788289509,46120.0,0.0643098455598455,Fall River,MA,0.7954545446590908,0.011061946902651372,0.24436508249512492,0.8670289901296588,0.06403507095722083,42.6732722237586
02726,27,21,0,6,6,Somerset,MA,0.2222222222222222,0.7777777777777778,41.76073,-71.14444,15946.0,1114.1,Bristol,Massachusetts,America/New_York,15907.0,4074.0,0.2561136606525429,103508.0,0.0313393708293612,Somerset,MA,0.22222222199999997,0.001896333754740235,0.3901266220276341,0.6229794725897171,0.017740897857269965,24.038708511839644
02777,94,40,0,54,54,Swansea,MA,0.574468085106383,0.425531914893617,41.75699,-71.21208,17231.0,293.9,Bristol,Massachusetts,America/New_York,17158.0,3881.0,0.226191863853596,110975.0,0.0557091218371252,Swansea,MA,0.5744680845319149,0.017067003792662114,0.34454807115913116,0.5912251381039231,0.004680055542816303,33.46685668094363
