geo_city,geo_state,total_shifts,filled,unfilled,cancelled,unmet,unmet_rate
Bridgton,ME,3,2,0,1,1,0.3333333333333333
Brighton,CO,181,181,0,0,0,0.0
Brighton,MA,154,121,0,33,33,0.21428571428571427
Bristol,CT,551,546,0,5,5,0.009074410163339383
Bristol,WI,1,1,0,0,0,0.0
Bristow,VA,104,104,0,0,0,0.0
Broad Brook,CT,19,19,0,0,0,0.0
Broad Channel,NY,169,162,0,7,7,0.04142011834319527
Broadview,IL,152,135,0,17,17,0.1118421052631579
Bronx,NY,65565,58898,1072,5595,6667,0.10168535041561809
Bronx,Ne,18,11,0,7,7,0.3888888888888889
Bronx NY 10463,NY,31,19,0,12,12,0.3870967741935484
Bronx Ny,NY,27,27,0,0,0,0.0
Bronxville,NY,108,83,20,5,25,0.23148148148148148
Brookfield,CT,8,5,0,3,3,0.375
Brookfield,Ct,37,18,0,19,19,0.5135135135135135
Brookfield,WI,1,0,0,1,1,1.0
Brookhaven,PA,12,6,0,6,6,0.5
Brooklyn,NY,84249,77686,320,6243,6563,0.07790003442177355
Brooklyn,Ne,21,4,0,17,17,0.8095238095238095
Brookyln,NY,27,27,0,0,0,0.0
Brookyn,NY,211,204,0,7,7,0.03317535545023697
Broomfield,CO,53,52,0,1,1,0.018867924528301886
Brunswick,ME,1,0,0,1,1,1.0
Buchanan,NY,34,28,0,6,6,0.17647058823529413
Buckeye,AZ,62,62,0,0,0,0.0
Buena Vista,CO,25,24,0,1,1,0.04
Buffalo,NY,125,0,125,0,125,1.0
Burlington,NC,507,438,69,0,69,0.13609467455621302
Burnham,PA,6,4,0,2,2,0.3333333333333333
Buxton,ME,7,6,0,1,1,0.14285714285714285
Bx,NY,98,96,1,1,2,0.02040816326530612
Byers,CO,56,56,0,0,0,0.0
CAIRNBROOK,PA,110,97,0,13,13,0.11818181818181818
CAMBRIA HEIGHT,NY,20,20,0,0,0,0.0
CAMBRIA HEIGHTS,NY,3194,2850,9,335,344,0.10770194113963683
CAMBRIA HTS,NY,103,93,0,10,10,0.0970873786407767
CAMPBELL HALL,NY,100,100,0,0,0,0.0
CANAAN,CT,35,35,0,0,0,0.0
CANARSIE,NY,57,48,0,9,9,0.15789473684210525
CANON CITY,CO,41,40,0,1,1,0.024390243902439025
CANONSBURG,PA,80,80,0,0,0,0.0
CANTERBURY,CT,5,3,0,2,2,0.4
CANTON,CT,182,166,0,16,16,0.08791208791208792
CARLE PLACE,NY,160,144,0,16,16,0.1
CARMEL,NY,433,406,0,27,27,0.06235565819861432
CARNEGIE,PA,60,50,0,10,10,0.16666666666666666
CASTLETON ON HUDSON,NY,17,16,0,1,1,0.058823529411764705
CEDAR PARK,TX,43,21,0,22,22,0.5116279069767442
CEDARHURST,NY,333,304,0,29,29,0.08708708708708708
CENTEREACH,NY,396,378,0,18,18,0.045454545454545456
CENTRAL ISLIP,NY,712,623,2,87,89,0.125
CENTRAL VALLEY,NY,181,152,0,29,29,0.16022099447513813
CHALFONT,PA,469,453,0,16,16,0.03411513859275053
CHAPLIN,CT,94,85,0,9,9,0.09574468085106383
CHAPPAQUA,NY,236,164,4,68,72,0.3050847457627119
CHARLEROI,PA,54,54,0,0,0,0.0
CHARLOTTE,NC,31,30,0,1,1,0.03225806451612903
CHESHIRE,CT,206,188,0,18,18,0.08737864077669903
CHESTER,CT,371,315,0,56,56,0.1509433962264151
CHESTER,NY,99,87,0,12,12,0.12121212121212122
CHESTER,PA,1022,955,0,67,67,0.06555772994129158
